LA (code),LA (name),EstablishmentName,EstablishmentTypeGroup (name),Gender (name),ReligiousCharacter (name),NumberOfPupils,NumberOfBoys,NumberOfGirls,PercentageFSM,Street,Address3,Town,County (code),County (name),Postcode,GOR (code),GOR (name),DistrictAdministrative (code),DistrictAdministrative (name),GSSLACode (code),GSSLACode (name),Easting,Northing,MSOA (name),LSOA (name),PropsName,Country (code),Country (name),MSOA (code),LSOA (code),FSM,Latitude,Longitude
318,Richmond upon Thames,Radnor House,Independent schools,Mixed,,481.0,288.0,193.0,,Pope's Villa,,Twickenham,58,Middlesex,TW1 4QG,H,London,E09000027,Richmond upon Thames,E09000027,E09000027,515956,172690,Richmond upon Thames 016,Richmond upon Thames 016A,Dukes Education,0,,E02000799,E01003880,,51.44134391091150,-0.33299838038311700
313,Hounslow,Tarbiyyah Primary School,Independent schools,Mixed,,161.0,81.0,80.0,,40 New Heston Road,,Hounslow,58,Middlesex,TW5 0LJ,H,London,E09000018,Hounslow,E09000018,E09000018,512900,177500,Hounslow 004,Hounslow 004A,Heathrow Community Initiative,GB,United Kingdom,E02000529,E01002620,,51.48519247442730,-0.3754148760427230
355,Salford,Edstart,Independent schools,Mixed,,74.0,45.0,29.0,,EdStart Specialist Education,Salford,,99,,M6 6DW,B,North West,E08000006,Salford,E08000006,E08000006,381362,400202,Salford 017,Salford 017G,EdStart Specialist Education Ltd,GB,United Kingdom,E02001173,E01033980,,53.49818314549380,-2.2824272079780300
204,Hackney,Bnei Zion Community School,Independent schools,Boys,,148.0,148.0,0.0,,49 - 51 Ravensdale Road,,London,99,,N16 6TJ,H,London,E09000012,Hackney,E09000012,E09000012,533873,188024,Hackney 001,Hackney 001C,Benzion Rudzinski,0,,E02000345,E01001814,,51.57519364995490,-0.0695363732472337
202,Camden,Guildhouse School,Independent schools,Mixed,,163.0,95.0,68.0,,43-45 Bloomsbury Square & 2 Southampton Place,,London,99,,WC1A 2RA,H,London,E09000007,Camden,E09000007,E09000007,530364,181581,Camden 028,Camden 028B,CEG Colleges Limited,0,,E02000193,E01000914,,51.51811490427530,-0.12252842327782300
302,Barnet,Peninim,Independent schools,Girls,,135.0,35.0,100.0,,37 Elmcroft Crescent,Barnet,London,99,,NW11 9TB,H,London,E09000003,Barnet,E09000003,E09000003,524149,187733,Barnet 037,Barnet 037D,Peninim Limited,GB,United Kingdom,E02000060,E01000219,,51.57480176812090,-0.2098850085678130
204,Hackney,Beis Ruchel D'Satmar London,Independent schools,Girls,Orthodox Jewish,1085.0,0.0,1085.0,,117 Stamford Hill,,London,99,,N16 5RS,H,London,E09000012,Hackney,E09000012,E09000012,533613,187732,Hackney 001,Hackney 001B,Abraham Klein,0,,E02000345,E01001809,,51.57263128780130,-0.0733969848827651
330,Birmingham,Redstone Academy for Boys,Independent schools,Boys,,114.0,114.0,0.0,,466 Moseley Road,,Birmingham,99,,B12 9AN,F,West Midlands,E08000025,Birmingham,E08000025,E08000025,407912,284460,Birmingham 083,Birmingham 083A,Sadaat Rasool,0,,E02001909,E01009367,,52.4580339832986,-1.884988629814000
856,Leicester,The Imam Muhammad Adam Institute School,Independent schools,Mixed,,229.0,34.0,195.0,,97 Bridge Road,Leicestershire,Leicester,99,,LE5 3LD,E,East Midlands,E06000016,Leicester,E06000016,E06000016,460911,304995,Leicester 017,Leicester 017D,The Imam Muhammad Adam Foundation,0,,E02002843,E01013658,,52.63929026215440,-1.101311231979890
306,Croydon,Croydon Metropolitan College,Independent schools,Mixed,,9.0,6.0,3.0,,30-32 South End,,Croydon,34,Surrey,CR0 1DN,H,London,E09000008,Croydon,E09000008,E09000008,532415,164747,Croydon 047,Croydon 047B,Sinnadurai Pathmamohan,0,,E02006988,E01034152,,51.366358115234300,-0.09927740562017710
801,"Bristol, City of",LPW Independent School,Independent schools,Mixed,,50.0,28.0,22.0,,LPW House,Bedminster,Bristol,99,,BS3 4AG,K,South West,E06000023,"Bristol, City of",E06000023,E06000023,359199,171810,Bristol 039,Bristol 039E,Learning Partnership West CIC,GB,United Kingdom,E02003050,E01033359,,51.443801489044600,-2.588456058869560
307,Ealing,La Chouette School,Independent schools,Mixed,,26.0,9.0,17.0,,Church Gardens,,Ealing,99,,W5 4HN,H,London,E09000009,Ealing,E09000009,E09000009,518078,180855,Ealing 031,Ealing 031D,Magali Amar,GB,United Kingdom,E02000268,E01001233,,51.514289268141000,-0.2997545024173780
204,Hackney,Wiznitz Cheder School,Independent schools,Boys,,73.0,73.0,0.0,,126b Stamford Hill,,London,99,,N16 6QT,H,London,E09000012,Hackney,E09000012,E09000012,533690,187564,Hackney 001,Hackney 001A,Viznitz Limited,0,,E02000345,E01001808,,51.57110335929530,-0.07235044167751250
330,Birmingham,City United Academy (CUA),Independent schools,Mixed,,27.0,25.0,2.0,,10 Edward Street,Birmingham,Birmingham,99,,B1 2RX,F,West Midlands,E08000025,Birmingham,E08000025,E08000025,405953,287022,Birmingham 137,Birmingham 137B,City United Limited,GB,United Kingdom,E02006898,E01033565,,52.48109072310960,-1.9137738865265300
353,Oldham,Westwood High,Independent schools,Girls,Islam,342.0,69.0,273.0,,Kelsall Street,,Oldham,15,Greater Manchester,OL9 6HR,B,North West,E08000004,Oldham,E08000004,E08000004,391626,404916,Oldham 016,Oldham 016D,The Green Dome Academy,0,,E02001113,E01005353,,53.54082000420320,-2.127831052813710
352,Manchester,Music Stuff,Independent schools,Mixed,,90.0,58.0,32.0,,Unit 2,877 Ashton Old Road,Manchester,99,,M11 2NA,B,North West,E08000003,Manchester,E08000003,E08000003,388033,397452,Manchester 015,Manchester 015E,Andrew Portersmith,0,,E02001059,E01005107,,53.47366060836070,-2.181760143721260
861,Stoke-on-Trent,Phoenix Independent School,Independent schools,Mixed,,25.0,10.0,15.0,,Unit E,Clough Street,Stoke on Trent,32,Staffordshire,ST1 4AF,F,West Midlands,E06000021,Stoke-on-Trent,E06000021,E06000021,387512,347352,Stoke-on-Trent 015,Stoke-on-Trent 015B,SHELLEY JAMIESON,0,,E02002965,E01014285,,53.02331262457150,-2.1876261735190000
870,Reading,Red Balloon Learner Centre Reading,Independent schools,Mixed,,20.0,11.0,9.0,,220-222 Kings Road,,Reading,50,Berkshire,RG1 4JJ,J,South East,E06000038,Reading,E06000038,E06000038,472526,173247,Reading 014,Reading 014F,Caroline Herbert,0,,E02003402,E01016414,,51.45356929287960,-0.9576170482137760
204,Hackney,TTD Gur School,Independent schools,Boys,,160.0,160.0,0.0,,17 Margaret Road,Stamford Hill,London,99,,N16 6UX,H,London,E09000012,Hackney,E09000012,E09000012,533728,187088,Hackney 006,Hackney 006B,TALMUD TORAH D'CHASIDEI GUR LIMITED,0,,E02000350,E01001724,,51.56681689492480,-0.07198344657685710
390,Gateshead,Ateres Girls High School,Independent schools,Girls,,268.0,0.0,268.0,,Willow Grove,,Gateshead,99,,NE10 9PQ,A,North East,E08000037,Gateshead,E08000037,E08000037,427945,561730,Gateshead 012,Gateshead 012C,David Schleider,0,,E02001693,E01008216,,54.94944407517990,-1.565235189239070
800,Bath and North East Somerset,Bath Academy,Independent schools,Mixed,,80.0,38.0,42.0,,27 Queen Square,,Bath,30,Somerset,BA1 2HX,K,South West,E06000022,Bath and North East Somerset,E06000022,E06000022,374808,165055,Bath and North East Somerset 009,Bath and North East Somerset 009C,Bath Academy Ltd,0,,E02002993,E01014407,,51.383977094881900,-2.363389795131210
