quote_date,region_name,price
2001-04-01,East Anglia,1.746154
2001-04-01,East Midlands,1.5916667
2001-04-01,London,2.06
2001-04-01,North,2.037143
2001-04-01,North West,2.1339998
2001-04-01,Northern Ireland,2.11
2001-04-01,Scotland,2.1945455
2001-04-01,South East,2.1704347
2001-04-01,South West,1.84
2001-04-01,Wales,1.7466666
2001-04-01,West Midlands,1.8473333
2001-04-01,Yorkshire & Humber,1.4691666
2001-05-01,East Anglia,1.7569231
2001-05-01,East Midlands,1.6354545
2001-05-01,London,1.9994118
2001-05-01,North,2.0057142
2001-05-01,North West,2.1553335
2001-05-01,Northern Ireland,2.214
2001-05-01,Scotland,2.1408334
2001-05-01,South East,2.1445835
2001-05-01,South West,1.8475
2001-05-01,Wales,1.7711111
2001-05-01,West Midlands,1.8566667
2001-05-01,Yorkshire & Humber,1.4084615
2001-06-01,East Anglia,1.6415385
2001-06-01,East Midlands,1.6033334
2001-06-01,London,1.9127778
2001-06-01,North,1.88
2001-06-01,North West,1.9035294
2001-06-01,Northern Ireland,2.214
2001-06-01,Scotland,2.3036363
2001-06-01,South East,1.8752174
2001-06-01,South West,1.7008333
2001-06-01,Wales,1.7266667
2001-06-01,West Midlands,1.8299999
2001-06-01,Yorkshire & Humber,1.37
2001-07-01,East Anglia,1.5584615
2001-07-01,East Midlands,1.5300001
2001-07-01,London,2.0231578
2001-07-01,North,1.837143
2001-07-01,North West,2.0113332
2001-07-01,Northern Ireland,2.08
2001-07-01,Scotland,1.9625001
2001-07-01,South East,2.13
2001-07-01,South West,1.8130769
2001-07-01,Wales,1.7711111
2001-07-01,West Midlands,1.712
2001-07-01,Yorkshire & Humber,1.333077
2001-08-01,East Anglia,1.6175
2001-08-01,East Midlands,1.5990909
2001-08-01,London,2.0666666
2001-08-01,North,1.9057143
2001-08-01,North West,1.9925001
2001-08-01,Northern Ireland,2.146
2001-08-01,Scotland,1.9945455
2001-08-01,South East,2.0428
2001-08-01,South West,1.893846
2001-08-01,Wales,1.7266667
2001-08-01,West Midlands,1.893846
2001-08-01,Yorkshire & Humber,1.319091
2001-09-01,East Anglia,1.6175
2001-09-01,East Midlands,1.6116667
2001-09-01,London,2.0275
2001-09-01,North,1.9628571
2001-09-01,North West,2.0046666
2001-09-01,Northern Ireland,2.0866668
2001-09-01,Scotland,2.2072728
2001-09-01,South East,2.1208334
2001-09-01,South West,1.8953846
2001-09-01,Wales,1.7711111
2001-09-01,West Midlands,1.8953846
2001-09-01,Yorkshire & Humber,1.4285715
2001-10-01,East Anglia,1.6035715
2001-10-01,East Midlands,1.5766667
2001-10-01,London,2.0705264
2001-10-01,North,2.0516667
2001-10-01,North West,1.9923528
2001-10-01,Northern Ireland,2.0866668
2001-10-01,Scotland,2.105
2001-10-01,South East,2.1375
2001-10-01,South West,1.9808334
2001-10-01,Wales,1.8044444
2001-10-01,West Midlands,1.7853333
2001-10-01,Yorkshire & Humber,1.5223076
2001-11-01,East Anglia,1.5923078
2001-11-01,East Midlands,1.61
2001-11-01,London,2.026
2001-11-01,North,2.0516667
2001-11-01,North West,1.995
2001-11-01,Northern Ireland,2.0866668
2001-11-01,Scotland,2.1133335
2001-11-01,South East,2.1856523
2001-11-01,South West,1.9030769
2001-11-01,Wales,1.8044444
2001-11-01,West Midlands,1.795
2001-11-01,Yorkshire & Humber,1.4671429
2001-12-01,East Anglia,1.6607143
2001-12-01,East Midlands,1.8100001
2001-12-01,London,2.0544443
2001-12-01,North,2.0516667
2001-12-01,North West,2.00125
2001-12-01,Northern Ireland,2.0866668
2001-12-01,Scotland,2.1325
2001-12-01,South East,2.1708333
2001-12-01,South West,2.0375001
2001-12-01,Wales,2.01
2001-12-01,West Midlands,1.8778571
2001-12-01,Yorkshire & Humber,1.5076923
2002-01-01,East Anglia,1.7
2002-01-01,East Midlands,1.7027272
2002-01-01,London,1.9723529
2002-01-01,North,1.957143
2002-01-01,North West,1.9570589
2002-01-01,Northern Ireland,2.0866668
2002-01-01,Scotland,2.1358335
2002-01-01,South East,2.1208694
2002-01-01,South West,1.9030769
2002-01-01,Wales,2.01
2002-01-01,West Midlands,1.9453847
2002-01-01,Yorkshire & Humber,1.5991668
2002-02-01,East Anglia,1.7714287
2002-02-01,East Midlands,1.7054546
2002-02-01,London,2.09
2002-02-01,North,2.1228573
2002-02-01,North West,2.03
2002-02-01,Northern Ireland,2.0866668
2002-02-01,Scotland,2.2
2002-02-01,South East,2.092381
2002-02-01,South West,1.9621428
2002-02-01,Wales,2.06
2002-02-01,West Midlands,1.9891667
2002-02-01,Yorkshire & Humber,1.5966667
2002-03-01,East Anglia,1.7785715
2002-03-01,East Midlands,1.7425
2002-03-01,London,2.161111
2002-03-01,North,2.1228573
2002-03-01,North West,1.8946667
2002-03-01,Northern Ireland,2.0866668
2002-03-01,Scotland,2.0636365
2002-03-01,South East,2.0119047
2002-03-01,South West,1.9321429
2002-03-01,Wales,2.0614285
2002-03-01,West Midlands,1.8142856
2002-03-01,Yorkshire & Humber,1.443077
2002-04-01,East Anglia,1.7685715
2002-04-01,East Midlands,1.7058333
2002-04-01,London,2.1521053
2002-04-01,North,2.1257143
2002-04-01,North West,1.905
2002-04-01,Northern Ireland,2.1060002
2002-04-01,Scotland,2.0336363
2002-04-01,South East,2.0638096
2002-04-01,South West,1.9321429
2002-04-01,Wales,1.81375
2002-04-01,West Midlands,1.8142856
2002-04-01,Yorkshire & Humber,1.3841667
2002-05-01,East Anglia,1.7776923
2002-05-01,East Midlands,1.7791667
2002-05-01,London,2.1457894
2002-05-01,North,2.0928571
2002-05-01,North West,1.915
2002-05-01,Northern Ireland,2.134
2002-05-01,Scotland,2.4055555
2002-05-01,South East,2.0913637
2002-05-01,South West,1.9135715
2002-05-01,Wales,1.87625
2002-05-01,West Midlands,1.86
2002-05-01,Yorkshire & Humber,1.41
2002-06-01,East Anglia,1.8000001
2002-06-01,East Midlands,1.7199999
2002-06-01,London,2.2389474
2002-06-01,North,2.1457143
2002-06-01,North West,1.9066666
2002-06-01,Northern Ireland,2.134
2002-06-01,Scotland,2.0936365
2002-06-01,South East,2.053
