quote_date,description,item_id,price,item_name
1992-05-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,1.0567045,Milk
1992-05-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.6478534,Sugar
1992-06-01,BUTTER-HOME PRODUCED-250G,211301,0.65128344,Butter
1992-06-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.0278723,Eggs
1992-06-01,FLOUR-SELF-RAISING-1.5KG,210201,0.6719231,Flour
1992-06-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,1.0682759,Milk
1992-06-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.64568526,Sugar
1992-07-01,BUTTER-HOME PRODUCED-250G,211301,0.65255433,Butter
1992-07-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.0245714,Eggs
1992-07-01,FLOUR-SELF-RAISING-1.5KG,210201,0.6663978,Flour
1992-07-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,1.0845029,Milk
1992-07-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.64558977,Sugar
1992-08-01,BUTTER-HOME PRODUCED-250G,211301,0.6509091,Butter
1992-08-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.0135714,Eggs
1992-08-01,FLOUR-SELF-RAISING-1.5KG,210201,0.6651872,Flour
1992-08-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,1.0753889,Milk
1992-08-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.64253885,Sugar
1992-09-01,BUTTER-HOME PRODUCED-250G,211301,0.6473936,Butter
1992-09-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,0.9843478,Eggs
1992-09-01,FLOUR-SELF-RAISING-1.5KG,210201,0.6648913,Flour
1992-09-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,1.0780663,Milk
1992-09-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.6401031,Sugar
1992-10-01,BUTTER-HOME PRODUCED-250G,211301,0.6468984,Butter
1992-10-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.0375695,Eggs
1992-10-01,FLOUR-SELF-RAISING-1.5KG,210201,0.6520106,Flour
1992-10-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,1.0641936,Milk
1992-10-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.6401031,Sugar
1992-11-01,BUTTER-HOME PRODUCED-250G,211301,0.653956,Butter
1992-11-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.0188811,Eggs
1992-11-01,FLOUR-SELF-RAISING-1.5KG,210201,0.6472043,Flour
1992-11-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,1.0313513,Milk
1992-11-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.6402551,Sugar
1992-12-01,BUTTER-HOME PRODUCED-250G,211301,0.66174865,Butter
1992-12-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.0973973,Eggs
1992-12-01,FLOUR-SELF-RAISING-1.5KG,210201,0.6463637,Flour
1992-12-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,1.0214286,Milk
1992-12-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.6481771,Sugar
1993-01-01,BUTTER-HOME PRODUCED-250G,211301,0.665618,Butter
1993-01-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.0776086,Eggs
1993-01-01,FLOUR-SELF-RAISING-1.5KG,210201,0.646508,Flour
1993-01-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,1.0110271,Milk
1993-01-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.67406416,Sugar
1993-02-01,BUTTER-HOME PRODUCED-250G,211301,0.67781913,Butter
1993-02-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.0592518,Eggs
1993-02-01,FLOUR-SELF-RAISING-1.5KG,210201,0.6584293,Flour
1993-02-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,1.0047644,Milk
1993-02-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.6770707,Sugar
1993-03-01,BUTTER-HOME PRODUCED-250G,211301,0.68718916,Butter
1993-03-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.0351725,Eggs
1993-03-01,FLOUR-SELF-RAISING-1.5KG,210201,0.6544792,Flour
1993-03-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,0.9902674,Milk
1993-03-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.7008763,Sugar
1993-04-01,BUTTER-HOME PRODUCED-250G,211301,0.7011299,Butter
1993-04-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.040493,Eggs
1993-04-01,FLOUR-SELF-RAISING-1.5KG,210201,0.6504189,Flour
1993-04-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,0.97973543,Milk
1993-04-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.69973963,Sugar
1993-05-01,BUTTER-HOME PRODUCED-250G,211301,0.7022222,Butter
1993-05-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.0405406,Eggs
1993-05-01,FLOUR-SELF-RAISING-1.5KG,210201,0.6535897,Flour
1993-05-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,0.97759163,Milk
1993-05-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.69985,Sugar
1993-06-01,BUTTER-HOME PRODUCED-250G,211301,0.70053476,Butter
1993-06-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.1130986,Eggs
1993-06-01,FLOUR-SELF-RAISING-1.5KG,210201,0.6499495,Flour
