Date,Region,Mean
1991-10-01,Yorkshire & Humber,0.8538462
1991-11-01,East Anglia,0.90200007
1991-11-01,East Midlands,0.90699995
1991-11-01,London,0.93235296
1991-11-01,North,0.9538461
1991-11-01,North West,0.92722225
1991-11-01,Northern Ireland,0.864
1991-11-01,Scotland,0.9053846
1991-11-01,South East,0.91882354
1991-11-01,South West,0.9216667
1991-11-01,Wales,0.8858333
1991-11-01,West Midlands,0.958
1991-11-01,Yorkshire & Humber,0.8666666
1991-12-01,East Anglia,0.91166663
1991-12-01,East Midlands,0.9188889
1991-12-01,London,0.95
1991-12-01,North,0.9691667
1991-12-01,North West,0.93428564
1991-12-01,Northern Ireland,0.8866667
1991-12-01,Scotland,0.92
1991-12-01,South East,0.92944443
1991-12-01,South West,0.9330769
1991-12-01,Wales,0.8976923
1991-12-01,West Midlands,0.96
1991-12-01,Yorkshire & Humber,0.8761539
1992-01-01,East Anglia,0.92333335
1992-01-01,East Midlands,0.93100005
1992-01-01,London,0.96500003
1992-01-01,North,0.9785714
1992-01-01,North West,0.93285716
1992-01-01,Northern Ireland,0.87999994
1992-01-01,Scotland,0.92333335
1992-01-01,South East,0.9441176
1992-01-01,South West,0.9361538
1992-01-01,Wales,0.9269231
1992-01-01,West Midlands,0.9614286
1992-01-01,Yorkshire & Humber,0.8818182
1992-02-01,East Anglia,0.91166663
1992-02-01,East Midlands,0.90166664
1992-02-01,London,0.972
1992-02-01,North,0.9406666
1992-02-01,North West,0.9195238
1992-02-01,Northern Ireland,0.87999994
1992-02-01,Scotland,0.912353
1992-02-01,South East,0.92333335
1992-02-01,South West,0.93315786
1992-02-01,Wales,0.9071428
1992-02-01,West Midlands,0.9621052
1992-02-01,Yorkshire & Humber,0.8692857
1992-03-01,East Anglia,0.90999997
1992-03-01,East Midlands,0.90166664
1992-03-01,London,0.96466666
1992-03-01,North,0.93642855
1992-03-01,North West,0.9228571
1992-03-01,Northern Ireland,0.89000005
1992-03-01,Scotland,0.9113333
1992-03-01,South East,0.90466666
1992-03-01,South West,0.925
1992-03-01,Wales,0.9007143
1992-03-01,West Midlands,0.9578948
1992-03-01,Yorkshire & Humber,0.86357147
1992-04-01,East Anglia,0.9128571
1992-04-01,East Midlands,0.9113333
1992-04-01,London,0.92375
1992-04-01,North,0.94625
1992-04-01,North West,0.91125005
1992-04-01,Northern Ireland,0.89000005
1992-04-01,Scotland,0.9077778
1992-04-01,South East,0.93173915
1992-04-01,South West,0.91875
1992-04-01,Wales,0.9014286
1992-04-01,West Midlands,0.94789475
1992-04-01,Yorkshire & Humber,0.86800003
1992-05-01,East Anglia,0.92142856
1992-05-01,East Midlands,0.92466664
1992-05-01,London,0.914375
1992-05-01,North,0.94823533
1992-05-01,North West,0.9256522
1992-05-01,Northern Ireland,0.885
1992-05-01,Scotland,0.9122222
1992-05-01,South East,0.9277273
1992-05-01,South West,0.9305263
1992-05-01,Wales,0.90642864
1992-05-01,West Midlands,0.95500004
1992-05-01,Yorkshire & Humber,0.875
1992-06-01,East Anglia,0.91
1992-06-01,East Midlands,0.92333335
1992-06-01,London,0.9309091
1992-06-01,North,0.941
1992-06-01,North West,0.92235297
1992-06-01,Northern Ireland,0.87799996
1992-06-01,Scotland,0.9242857
1992-06-01,South East,0.93888885
1992-06-01,South West,0.94277775
1992-06-01,Wales,0.9
1992-06-01,West Midlands,0.9492308
1992-06-01,Yorkshire & Humber,0.8892308
1992-07-01,East Anglia,0.8833333
1992-07-01,East Midlands,0.8858333
1992-07-01,London,0.90999997
1992-07-01,North,0.90699995
1992-07-01,North West,0.89214283
1992-07-01,Northern Ireland,0.8766667
1992-07-01,Scotland,0.90538466
1992-07-01,South East,0.8973333
1992-07-01,South West,0.8833333
1992-07-01,Wales,0.8725
1992-07-01,West Midlands,0.88272727
1992-07-01,Yorkshire & Humber,0.8853846
1992-08-01,East Anglia,0.8908333
1992-08-01,East Midlands,0.8853846
1992-08-01,London,0.91499996
1992-08-01,North,0.92
1992-08-01,North West,0.8738095
1992-08-01,Northern Ireland,0.89399993
1992-08-01,Scotland,0.89941174
1992-08-01,South East,0.91999996
1992-08-01,South West,0.90333337
1992-08-01,Wales,0.872
1992-08-01,West Midlands,0.9164706
